agi_locus	source	family	evidence_note
AT3G12670	EMB	EMB_essential	SeedGenes: EMB 2742 (Confirmed) - CTP Synthase (UTP-Ammonia Ligase)
AT3G13200	EMB	EMB_essential	SeedGenes: EMB 2769 (Not Confirmed) - U5 Associated Protein (Cwc15)
AT3G14900	EMB	EMB_essential	SeedGenes: EMB 3120 (Confirmed) - Unknown
AT3G16290	EMB	EMB_essential	SeedGenes: EMB 2083 (Confirmed) - FtsH Protease (AAA ATPase)
AT3G17300	EMB	EMB_essential	SeedGenes: EMB 2786 (Confirmed) - Unknown
AT3G17390	CURATED_FAMILY	SAMS	SAM3 / MAT3 (S-adenosylmethionine synthetase 3)
AT3G17650	EMB	EMB_essential	SeedGenes: PDE 321 (Not Confirmed) - OPT Transporter (YSL5)
AT3G17910	EMB	EMB_essential	SeedGenes: EMB 3121 (Confirmed) - Cytochrome C Oxidase Assembly in Mitochondria
AT3G18110	EMB	EMB_essential	SeedGenes: EMB 1270 (Confirmed) - PPR Protein
AT3G18290	EMB	EMB_essential	SeedGenes: EMB 2454 (Confirmed) - Zinc Finger Protein
AT3G18390	EMB	EMB_essential	SeedGenes: EMB 1865 (Confirmed) - Chloroplast Splicing Factor (CFM1)
AT3G19700	EMB	EMB_essential	SeedGenes: IKU 2 (Confirmed) - LRR Kinase
AT3G19770	EMB	EMB_essential	SeedGenes: AtVPS 9A (Confirmed) - Rab5 Guanine Exchange Factor
AT3G19980	EMB	EMB_essential	SeedGenes: EMB 2736 (Not Confirmed) - Serine/Threonine Protein Phosphatase 6
AT3G20070	EMB	EMB_essential	SeedGenes: TTN 9 (Confirmed) - Unknown
AT3G20400	EMB	EMB_essential	SeedGenes: EMB 2743 (Not Confirmed) - Uncertain
AT3G20440	EMB	EMB_essential	SeedGenes: EMB 2729 (Confirmed) - 1,4-alpha-glucan branching enzyme
AT3G20630	EMB	EMB_essential	SeedGenes: TTN 6 (Confirmed) - UBP14 Deubiquitinating Enzyme
AT3G20740	EMB	EMB_essential	SeedGenes: FIE (Confirmed) - WD Polycomb Protein
AT3G23110	EMB	EMB_essential	SeedGenes: EMB 2800 (Not Confirmed) - LRR Protein (AtRLP37)
AT3G24560	EMB	EMB_essential	SeedGenes: RSY 3 (Confirmed) - Uncertain
AT3G25860	EMB	EMB_essential	SeedGenes: PL E2 (Confirmed) - Chloroplast Pyruvate Decarboxylase E2 Subunit
AT3G26790	EMB	EMB_essential	SeedGenes: FUS 3 (Confirmed) - B3 Domain Transcription Factor
AT3G26900	EMB	EMB_essential	SeedGenes: SKL 1 (Confirmed) - Uncertain
AT3G27670	EMB	EMB_essential	SeedGenes: RST 1 (Confirmed) - Unknown
AT3G27750	EMB	EMB_essential	SeedGenes: EMB 3123 (Confirmed) - Uncertain
AT3G29290	EMB	EMB_essential	SeedGenes: EMB 2076 (Not Confirmed) - PPR Protein
AT3G44530	EMB	EMB_essential	SeedGenes: HIRA (Confirmed) - Chromatin Remodeling Factor
AT3G46560	EMB	EMB_essential	SeedGenes: EMB 2474 (Not Confirmed) - Small Zinc Finger Protein
AT3G46740	EMB	EMB_essential	SeedGenes: TOC 75 (Confirmed) - Chloroplast Import Protein
AT3G48110	EMB	EMB_essential	SeedGenes: EDD (Confirmed) - Chloroplast Glycyl tRNA Synthetase
AT3G48470	EMB	EMB_essential	SeedGenes: EMB 2423 (Confirmed) - Uncertain
AT3G48500	EMB	EMB_essential	SeedGenes: PDE 312 (Confirmed) - Uncertain
AT3G48750	EMB	EMB_essential	SeedGenes: CDC 2A (Confirmed) - Cyclin-Dependent Kinase
AT3G48930	EMB	EMB_essential	SeedGenes: EMB 1080 (Not Confirmed) - Ribosomal Protein S11
AT3G49170	EMB	EMB_essential	SeedGenes: EMB 2261 (Confirmed) - PPR Protein
AT3G49240	EMB	EMB_essential	SeedGenes: EMB 1796 (Confirmed) - PPR Protein
AT3G49660	EMB	EMB_essential	SeedGenes: AtMUT 11 (Not Confirmed) - Subunit of Histone Methyltransferase Complex
AT3G50870	EMB	EMB_essential	SeedGenes: MNP (Confirmed) - GATA Factor Transcriptional Regulator
AT3G51820	EMB	EMB_essential	SeedGenes: PDE 325 (Confirmed) - Chlorophyll Synthase (CHLG/ATG4)
AT3G52380	EMB	EMB_essential	SeedGenes: PDE 322 (Not Confirmed) - Chloroplast RNA Binding Protein (CP33)
AT3G52590	EMB	EMB_essential	SeedGenes: EMB 2167 (Confirmed) - Ubiquitin Fused to Ribosomal Protein L40 (UbA52)
AT3G52940	EMB	EMB_essential	SeedGenes: FK (Confirmed) - Sterol C-14 Reductase
AT3G54010	EMB	EMB_essential	SeedGenes: PAS 1 (Confirmed) - Immunophilin-like FK506 Binding Protein
AT3G54170	EMB	EMB_essential	SeedGenes: FIP 37 (Confirmed) - FKBP12 Interacting Protein
AT3G54320	EMB	EMB_essential	SeedGenes: WRI 1 (Confirmed) - Transcription Factor
